LIDNUM;NAME;LATSTR;LONGSTR;LAT;LONG;MAX_AGE;BFA_MAX;BFA_MAX_ABS;FRAC_MAX;MIN_AGE;BFA_MIN;BFA_MIN_ABS;FRAC_MIN;CHRON;AGE_COMM;BASIN;SUBBASIN;COUNTRY;STATE;COUNTY;APNUMSPM;GENERAL;LOC_SYNONYMS;MEAN_HYPSODONTY;ESTIMATE_PRECIP;ESTIMATE_TEMP;ESTIMATE_NPP;PERS_WOODY_COVER;PERS_POLLEN_AP;PERS_POLLEN_NAP;PERS_POLLEN_OTHER;SIDNUM;ORDER;FAMILY;GENUS;SPECIES;SUBCLASSORSUPERORDER;SUBORDERORSUPERFAMILY;SUBFAMILY;UNIQUE;TAXON_STATUS;ID_STATUS;ADD_INFO;SOURCE_NAME;LS_MICROWEAR;LS_MESOWEAR;LS_MESOWEAR_SCORE;LS_MW_OR_HIGH;LS_MW_OR_LOW;LS_MW_CS_SHARP;LS_MW_CS_ROUND;LS_MW_CS_BLUNT;SVLENGTH;BODYMASS;SXDIMSZE;SXDIMDIS;TSHM;TCRWNHT;HORIZODONTY;CROWNTYP;CUSP_SHAPE;CUSP_COUNT_BUCCAL;CUSP_COUNT_LINGUAL;LOPH_COUNT_LON;LOPH_COUNT_TRS;FCT_AL;FCT_OL;FCT_SF;FCT_OT;FCT_CM;MICROWEAR;MESOWEAR;MESOWEAR_SCORE;MW_OR_HIGH;MW_OR_LOW;MW_CS_SHARP;MW_CS_ROUND;MW_CS_BLUNT;DIET_1;DIET_2;DIET_3;LOCOMO1;LOCOMO2;LOCOMO3;SPCOMMENT;SP_SYNONYM;SP_SYNONYM_COMMENT
24064;Heshang Cave;25 11 0 N;102 32 00 E;25.1833;102.533333333333;1.29585;pleistocene;\N;6:10;0.58243333333333;pleistocene;\N;7:9;\N;Middle Pleistocene *time unit correlation changed  and fraction of age recalculated automatically;\N;\N;China;Yunnan Province;Fumin Region;\N;\N;\N;1.33;\N;\N;\N;\N;\N;\N;\N;29711;Carnivora;Ailuridae;Ailurus;fulgens;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;10cm-1m;4900;n;n;cso;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;o;omnivore;plant_dom;te;scansorial;gen_quad;\N;\N;\N
24064;Heshang Cave;25 11 0 N;102 32 00 E;25.1833;102.533333333333;1.29585;pleistocene;\N;6:10;0.58243333333333;pleistocene;\N;7:9;\N;Middle Pleistocene *time unit correlation changed  and fraction of age recalculated automatically;\N;\N;China;Yunnan Province;Fumin Region;\N;\N;\N;1.33;\N;\N;\N;\N;\N;\N;\N;25193;Carnivora;Felidae;Lynx;lynx;Eutheria;\N;Felinae;-;\N;species id uncertain;\N;\N;\N;\N;;\N;\N;\N;\N;\N;1m-2m;19850;y;n;csp;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;meat_only;te;\N;\N;\N;\N;\N
24064;Heshang Cave;25 11 0 N;102 32 00 E;25.1833;102.533333333333;1.29585;pleistocene;\N;6:10;0.58243333333333;pleistocene;\N;7:9;\N;Middle Pleistocene *time unit correlation changed  and fraction of age recalculated automatically;\N;\N;China;Yunnan Province;Fumin Region;\N;\N;\N;1.33;\N;\N;\N;\N;\N;\N;\N;25315;Carnivora;Felidae;Panthera;pardus;Eutheria;\N;Felinae;-;\N;species id uncertain;\N;\N;\N;\N;;\N;\N;\N;\N;\N;1m-2m;53750;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;\N;te;\N;\N;\N;Felis pardus;\N
24064;Heshang Cave;25 11 0 N;102 32 00 E;25.1833;102.533333333333;1.29585;pleistocene;\N;6:10;0.58243333333333;pleistocene;\N;7:9;\N;Middle Pleistocene *time unit correlation changed  and fraction of age recalculated automatically;\N;\N;China;Yunnan Province;Fumin Region;\N;\N;\N;1.33;\N;\N;\N;\N;\N;\N;\N;25279;Carnivora;Felidae;Panthera;tigris;Eutheria;\N;Felinae;-;\N;species id uncertain;\N;\N;\N;\N;;\N;\N;\N;\N;\N;2m-5m;162554;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;\N;te;\N;\N;\N;Felis tigris;\N
21403;La Grive M;45 35 56 N;5 12 57 E;45.599;5.216;12.85;mn7-8;\N;\N;11.2;mn7-8;\N;\N;;;Bresse - Jura;\N;France;Isère;;\N;;\N;1.00;\N;\N;\N;\N;\N;\N;\N;31510;Carnivora;Ailuridae;Alopecocyon;goeriachensis;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;cso;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;Viretius goeriachensis;\N
21403;La Grive M;45 35 56 N;5 12 57 E;45.599;5.216;12.85;mn7-8;\N;\N;11.2;mn7-8;\N;\N;;;Bresse - Jura;\N;France;Isère;;\N;;\N;1.00;\N;\N;\N;\N;\N;\N;\N;20000;Carnivora;Amphicyonidae;Amphicyon;major;Eutheria;\N;Amphicyoninae;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;1m-2m;183000;y;\N;cso;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;m/bone;te;surficial;gen_quad;\N;\N;\N
21403;La Grive M;45 35 56 N;5 12 57 E;45.599;5.216;12.85;mn7-8;\N;\N;11.2;mn7-8;\N;\N;;;Bresse - Jura;\N;France;Isère;;\N;;\N;1.00;\N;\N;\N;\N;\N;\N;\N;20014;Carnivora;Barbourofelidae;Albanosmilus;jourdani;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;1m-2m;80000;\N;\N;csp;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;meat_only;te;surficial;gen_quad;\N;Sansanosmilus jourdani;\N
21403;La Grive M;45 35 56 N;5 12 57 E;45.599;5.216;12.85;mn7-8;\N;\N;11.2;mn7-8;\N;\N;;;Bresse - Jura;\N;France;Isère;;\N;;\N;1.00;\N;\N;\N;\N;\N;\N;\N;20007;Carnivora;Felidae;Pseudaelurus;quadridentatus;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;10cm-1m;30000;\N;\N;csp;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;meat_only;te;scansorial;gen_quad;\N;Felis quadridentata;\N
21403;La Grive M;45 35 56 N;5 12 57 E;45.599;5.216;12.85;mn7-8;\N;\N;11.2;mn7-8;\N;\N;;;Bresse - Jura;\N;France;Isère;;\N;;\N;1.00;\N;\N;\N;\N;\N;\N;\N;20008;Carnivora;Felidae;Styriofelis;lorteti;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;10cm-1m;15000;\N;\N;csp;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;meat_only;te;scansorial;gen_quad;\N;Pseudaelurus lorteti;\N
21403;La Grive M;45 35 56 N;5 12 57 E;45.599;5.216;12.85;mn7-8;\N;\N;11.2;mn7-8;\N;\N;;;Bresse - Jura;\N;France;Isère;;\N;;\N;1.00;\N;\N;\N;\N;\N;\N;\N;20059;Carnivora;Felidae;Styriofelis;turnauensis;Eutheria;\N;;-;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;10cm-1m;10000;\N;\N;csp;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;;\N;\N;\N;\N;\N;a;carnivore;meat_only;te;scansorial;gen_quad;\N;Pseudaelurus transitorius:Pseudaelurus turnauensis;\N:\N
