"MDD_syn_ID","SIDNUM","MDD_species","MDD_root_name","MDD_original_combination","now_accepted_name","string_distance","match_notes","MDD_family","FAMILY","MDD_continent","now_continent","MIN_AGE","MAX_AGE","MDD_species_id","MDD_author","MDD_year","MDD_authority_parentheses","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","SUBFAMILY","GENUS","SPECIES","now_accepted_rank","accepted_match"
100006408,29622,"Ailuropoda_melanoleuca","melanoleuca","Ursus_melanoleucus","Ailuropoda_melanoleuca",0,"exact match (mdd accepted, now accepted)","Ursidae","Ursidae","Asia","Asia",0.0109,1.9,1005930,"A. David",1869,1,"Eutheria","Carnivora","indet.","Ailuropodinae","Ailuropoda","melanoleuca","species",TRUE
100006408,29590,"Ailuropoda_melanoleuca","melanoleuca","Ursus_melanoleucus","Ailuropoda_melanoleuca",0,"exact match (mdd accepted, now accepted)","Ursidae","Ursidae","Asia","Asia",0.0117,1.6594,1005930,"A. David",1869,1,"Eutheria","Carnivora","indet.","Ailuropodinae","Ailuropoda","melanoleuca","species",TRUE
100006408,30135,"Ailuropoda_melanoleuca","melanoleuca","Ursus_melanoleucus","Ailuropoda_melanoleuca",0,"exact match (mdd accepted, now accepted)","Ursidae","Ursidae","Asia","Asia",0.001,1.9,1005930,"A. David",1869,1,"Eutheria","Carnivora","indet.","Ailuropodinae","Ailuropoda","melanoleuca","species",TRUE
100003478,29711,"Ailurus_fulgens","fulgens","Ailurus_fulgens","Ailurus_fulgens",0,"exact match (mdd accepted, now accepted)","Ailuridae","Ailuridae","Asia","Asia",0.047,0.774,1005802,"F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,0,"Eutheria","Carnivora","Caniformia","indet.","Ailurus","fulgens","species",TRUE
100005239,29827,"Arctonyx_collaris","collaris","Arctonyx_collaris","Arctonyx_collaris",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.0117,1.9,1005854,"F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,0,"Eutheria","Carnivora","Caniformia","Melinae","Arctonyx","collaris","species",TRUE
100005239,29828,"Arctonyx_collaris","collaris","Arctonyx_collaris","Arctonyx_collaris",0,"exact match (mdd accepted, now accepted)","Mustelidae","Mustelidae","Asia","Asia",0.774,1.677,1005854,"F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,0,"Eutheria","Carnivora","Caniformia","Melinae","Arctonyx","collaris","species",TRUE
100004727,35318,"Atilax_paludinosus","paludinosus","Herpestes_paludinosus","Atilax_paludinosus",0,"exact match (mdd accepted, now accepted)","Herpestidae","Herpestidae","Africa","Africa",0.0117,1.9,1006036,"G. Cuvier",1829,1,"Eutheria","Carnivora","indet.","indet.","Atilax","paludinosus","species",TRUE
100003571,25427,"Canis_latrans","latrans","Canis_latrans","Canis_latrans",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","North America","Americas",0,0.0117,1005941,"Say in James",1823,0,"Eutheria","Carnivora","Caniformia","Caninae","Canis","latrans","species",TRUE
100003617,25446,"Canis_lupus","lupus","Canis_lupus","Canis_lupus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia|Europe|North America","Europe | Asia",0,0.115,1005943,"Linnaeus",1758,0,"Eutheria","Carnivora","Caniformia","Caninae","Canis","lupus","species",TRUE
100003617,25374,"Canis_lupus","lupus","Canis_lupus","Canis_lupus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia|Europe|North America","Asia",0.053,0.125,1005943,"Linnaeus",1758,0,"Eutheria","Carnivora","Caniformia","Caninae","Canis","lupus","species",TRUE
100003617,32631,"Canis_lupus","lupus","Canis_lupus","Canis_lupus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","Asia|Europe|North America","Europe",0.02,0.08,1005943,"Linnaeus",1758,0,"Eutheria","Carnivora","Caniformia","Caninae","Canis","lupus","species",TRUE
100004145,34110,"Catopuma_temminckii","temminckii","Felis_temminckii","Catopuma_temminckii",0,"exact match (mdd accepted, now accepted)","Felidae","Felidae","Asia","Asia",0.0117,1.9,1005983,"Vigors & Horsfield",1827,1,"Eutheria","Carnivora","Feliformia","indet.","Catopuma","temminckii","species",TRUE
100003728,85095,"Chrysocyon_brachyurus","brachyurus","Canis_brachyurus","Chrysocyon_brachyurus",0,"exact match (mdd accepted, now accepted)","Canidae","Canidae","South America","Americas",0.1,1.1,1005948,"Illiger",1815,1,"Eutheria","Carnivora","Caniformia","Caninae","Chrysocyon","brachyurus","species",TRUE
100005066,85098,"Conepatus_chinga","chinga","Viverra_chinga","Conepatus_chinga",0,"exact match (mdd accepted, now accepted)","Mephitidae","Mephitidae","South America","Americas",0.1,1.1,1005804,"G. I. Molina",1782,1,"Eutheria","Carnivora","indet.","Mephitini","Conepatus","chinga","species",TRUE
100005114,82111,"Conepatus_leuconotus","leuconotus","Mephitis_leuconota","Conepatus_leuconotus",0,"exact match (mdd accepted, now accepted)","Mephitidae","Mephitidae","North America","Americas",0.39,0.9,1005805,"H. Lichtenstein",1832,1,"Eutheria","Carnivora","indet.","Mephitini","Conepatus","leuconotus","species",TRUE
100005135,86404,"Conepatus_semistriatus","semistriatus","Viverra_semistriata","Conepatus_semistriatus",0,"exact match (mdd accepted, now accepted)","Mephitidae","Mephitidae","North America|South America","Americas",0.0117,0.129,1005806,"Boddaert",1785,1,"Eutheria","Carnivora","indet.","Mephitini","Conepatus","semistriatus","species",TRUE
