"","MDD_species","MDD_original_combination","pbdb_accepted_name","string_distance","match_notes","MDD_family","pbdb_family","MDD_author","MDD_year","MDD_authority_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_accepted_author_parentheses","accepted_match","MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_genus","MDD_validity","MDD_actual_rank","MDD_continent","pbdb_accepted_no","pbdb_taxon_no"
"1","Acinonyx_jubatus","Felis_jubata","Acinonyx_jubatus",0,"exact match (mdd accepted, pbdb accepted)","Felidae","Felidae","von Schreber",1775,1,"Schreber",1775,TRUE,TRUE,1005979,100004098,"jubatus","Carnivora","Acinonyx","species","species","Africa|Asia",224064,224064
"2","Ailuropoda_melanoleuca","Ursus_melanoleucus","Ailuropoda_melanoleuca",0,"exact match (mdd accepted, pbdb accepted)","Ursidae","Ursidae","A. David",1869,1,"David",1869,TRUE,TRUE,1005930,100006408,"melanoleuca","Carnivora","Ailuropoda","species","species","Asia",104015,104015
"3","Ailurus_fulgens","Ailurus_fulgens","Ailurus_fulgens",0,"exact match (mdd accepted, pbdb accepted)","Ailuridae","Ailuridae","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,0,"Cuvier",1825,FALSE,TRUE,1005802,100003478,"fulgens","Carnivora","Ailurus","species","species","Asia",157499,157499
"4","Arctocephalus_australis","Phoca_australis","Arctocephalus_australis",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","E. A. W. von Zimmermann",1783,1,"Zimmermann",1783,TRUE,TRUE,1005896,100006045,"australis","Carnivora","Arctocephalus","species","species","South America",348028,348028
"5","Arctocephalus_forsteri","Otaria_forsteri","Arctocephalus_forsteri",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","Lesson",1828,1,"Wood-Jones",1922,FALSE,FALSE,1005897,100006059,"forsteri","Carnivora","Arctocephalus","species","species","Oceania (Continent)",348031,348031
"6","Arctocephalus_forsteri","Otaria_forsteri","Arctocephalus_forsteri",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","Lesson",1828,1,"Wood-Jones",1922,FALSE,FALSE,1005897,100006059,"forsteri","Carnivora","Arctocephalus","species","species","Oceania (Continent)",71848,71848
"7","Arctocephalus_forsteri","Otaria_forsteri","Arctocephalus_forsteri",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","Lesson",1828,1,"Lesson",1828,TRUE,FALSE,1005897,100006059,"forsteri","Carnivora","Arctocephalus","species","species","Oceania (Continent)",348031,348031
"8","Arctocephalus_forsteri","Otaria_forsteri","Arctocephalus_forsteri",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","Lesson",1828,1,"Lesson",1828,TRUE,FALSE,1005897,100006059,"forsteri","Carnivora","Arctocephalus","species","species","Oceania (Continent)",71848,71848
"9","Arctocephalus_galapagoensis","Arctocephalus_galapagoensis","Arctocephalus_galapagoensis",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","E. Heller",1904,0,"Heller",1904,FALSE,TRUE,1005898,100006060,"galapagoensis","Carnivora","Arctocephalus","species","species","North America|South America",71850,71850
"10","Arctocephalus_gazella","Arctophoca_gazella","Arctocephalus_gazella",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","W. C. H. Peters",1875,1,"Peters",1875,TRUE,TRUE,1005899,100006061,"gazella","Carnivora","Arctocephalus","species","species","Africa|Antarctica|Oceania (Continent)|South America",71844,71844
"11","Arctocephalus_philippii","Otaria_philippii","Arctocephalus_philippii",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","W. C. H. Peters",1866,1,"Peters",1866,TRUE,TRUE,1005900,100006062,"philippii","Carnivora","Arctocephalus","species","species","South America",103880,103880
"12","Arctocephalus_philippii","Otaria_philippii","Arctocephalus_philippii",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","W. C. H. Peters",1866,1,"Peters",1866,TRUE,TRUE,1005900,100006062,"philippii","Carnivora","Arctocephalus","species","species","South America",134393,134393
"13","Arctocephalus_pusillus","Phoca_pusilla","Arctocephalus_pusillus",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","von Schreber",1775,1,"Schreber",1778,TRUE,TRUE,1005895,100006063,"pusillus","Carnivora","Arctocephalus","species","species","Africa|Antarctica|Oceania (Continent)",134392,134392
"14","Arctocephalus_townsendi","Arctocephalus_townsendi","Arctocephalus_townsendi",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","C. H. Merriam",1897,0,"Merriam",1897,TRUE,TRUE,1005901,100006073,"townsendi","Carnivora","Arctocephalus","species","species","North America",71846,71846
"15","Arctocephalus_tropicalis","Gypsophoca_tropicalis","Arctocephalus_tropicalis",0,"exact match (mdd accepted, pbdb accepted)","Otariidae","Otariidae","J. E. Gray",1872,1,"Gray",1872,TRUE,TRUE,1005902,100006074,"tropicalis","Carnivora","Arctocephalus","species","species","Africa|Antarctica|Oceania (Continent)|South America",71845,71845
"16","Arctogalidia_trivirgata","Paradoxurus_trivirgatus","Arctogalidia_trivirgata",0,"exact match (mdd accepted, pbdb accepted)","Viverridae","Viverridae","J. E. Gray",1832,1,"Gray",1832,TRUE,TRUE,1006098,100006633,"trivirgata","Carnivora","Arctogalidia","species","species","Asia",232036,232036
"17","Arctonyx_collaris","Arctonyx_collaris","Arctonyx_collaris",0,"exact match (mdd accepted, pbdb accepted)","Mustelidae","Mustelidae","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1825,0,"Cuvier",1825,FALSE,TRUE,1005854,100005239,"collaris","Carnivora","Arctonyx","species","species","Asia",157496,157496
"18","Atelocynus_microtis","Canis_microtis","Atelocynus_microtis",0,"exact match (mdd accepted, pbdb accepted)","Canidae","Canidae","P. L. Sclater",1883,1,"Sclater",1883,TRUE,TRUE,1005938,100003482,"microtis","Carnivora","Atelocynus","species","species","South America",232939,232939
"19","Atilax_paludinosus","Herpestes_paludinosus","Atilax_paludinosus",0,"exact match (mdd accepted, pbdb accepted)","Herpestidae","Herpestidae","G. Cuvier",1829,1,"Cuvier",1829,TRUE,TRUE,1006036,100004727,"paludinosus","Carnivora","Atilax","species","species","Africa",232106,232106
"20","Bassaricyon_alleni","Bassaricyon_alleni","Bassaricyon_alleni",0,"exact match (mdd accepted, pbdb accepted)","Procyonidae","Procyonidae","O. Thomas",1880,0,"Thomas",1880,FALSE,TRUE,1005881,100006232,"alleni","Carnivora","Bassaricyon","species","species","South America",232931,232931
