"MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_family","MDD_genus","MDD_species","MDD_validity","MDD_original_combination","MDD_author","MDD_year","MDD_authority_parentheses","MDD_actual_rank","MDD_continent"
1006097,100006625,"atra","Carnivora","Viverridae","Arctictis","Arctictis_binturong","synonym","ater","F. Cuvier & É. Geoffroy Saint-Hilaire in É. Geoffroy Saint-Hilaire & F. Cuvier",1824,"1","epithet","Asia"
1005896,100031898,"laitirostros","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","laitirostros","Wozencraft",2005,"0","epithet","South America"
1005895,100049889,"schisthyperves","Carnivora","Otariidae","Arctocephalus","Arctocephalus_pusillus","synonym","schisthyperves","Wozencraft",2005,"0","epithet","Africa|Antarctica|Oceania (Continent)"
1005940,100049873,"antarcticus","Carnivora","Canidae","Canis","Canis_familiaris","synonym","antarcticus","Wozencraft",2005,"0","epithet",NA
1005940,100049874,"fricatrix","Carnivora","Canidae","Canis","Canis_familiaris","synonym","fricatrix","Wozencraft",2005,"0","epithet",NA
1005940,100003524,"fuillus","Carnivora","Canidae","Canis","Canis_familiaris","synonym","fuillus","Wozencraft",2005,"0","epithet",NA
1005940,100049876,"melitacus","Carnivora","Canidae","Canis","Canis_familiaris","synonym","melitacus","Wozencraft",2005,"0","epithet",NA
1005943,100049872,"cubanenesis","Carnivora","Canidae","Canis","Canis_lupus","synonym","cubanenesis","Wozencraft",2005,"0","epithet","Asia|Europe|North America"
1005946,100049877,"walgi","Carnivora","Canidae","Canis","Canis_simensis","synonym","walgi","Wozencraft",2005,"0","epithet","Africa"
1005981,100004143,"melanotix","Carnivora","Felidae","Caracal","Caracal_caracal","synonym","melanotix","Wozencraft",2005,"0","epithet","Africa|Asia"
1006836,100049909,"childensis","Carnivora","Mephitidae","Conepatus","Conepatus_amazonicus","synonym","childensis","Wozencraft",2005,"0","epithet","South America"
1005804,100049908,"hunti","Carnivora","Mephitidae","Conepatus","Conepatus_chinga","synonym","hunti","Wozencraft",2005,"0","epithet","South America"
1005949,100031899,"sumatrensis","Carnivora","Canidae","Cuon","Cuon_alpinus","synonym","sumatrensis","Wozencraft",2005,"0","epithet","Asia"
1005985,100029432,"torquata","Carnivora","Felidae","Felis","Felis_catus","synonym","torquata","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1826,"0","epithet",NA
1005985,100049861,"agria","Carnivora","Felidae","Felis","Felis_catus","synonym","agria","Wozencraft",2005,"0","epithet",NA
1005985,100049862,"madagascariensis","Carnivora","Felidae","Felis","Felis_catus","synonym","madagascariensis","Wozencraft",2005,"0","epithet",NA
1005985,100049863,"striaas","Carnivora","Felidae","Felis","Felis_catus","synonym","striaas","Wozencraft",2005,"0","epithet",NA
1005986,100004184,"chaus","Carnivora","Felidae","Felis","Felis_chaus","synonym","chaus","von Güldenstädt",1776,"0","epithet","Africa|Asia|Europe"
1005987,100057593,"dongolana","Carnivora","Felidae","Felis","Felis_lybica","synonym","dongolana","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1005987,100049864,"ruppelii","Carnivora","Felidae","Felis","Felis_lybica","synonym","ruppelii","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1005833,100049901,"aliamandi","Carnivora","Mustelidae","Galictis","Galictis_vittata","synonym","aliamandi","Wozencraft",2005,"0","epithet","North America|South America"
1006080,100049870,"bonapartei","Carnivora","Viverridae","Genetta","Genetta_genetta","synonym","bonapartei","Wozencraft",2005,"0","epithet","Africa|Asia|Europe"
1006043,100004800,"numidicus","Carnivora","Herpestidae","Herpestes","Herpestes_ichneumon","synonym","numidicus","F. Cuvier in É. Geoffroy Saint-Hilaire & F. Cuvier",1834,"0","epithet","Africa|Asia|Europe"
1005915,100006142,"leptonyz","Carnivora","Phocidae","Hydrurga","Hydrurga_leptonyx","synonym","leptonyz","Wozencraft",2005,"0","epithet","Africa|Antarctica|Oceania (Continent)|South America"
1005993,100049865,"huinus","Carnivora","Felidae","Leopardus","Leopardus_colocola","synonym","huinus","Wozencraft",2005,"0","epithet","South America"
1005844,100005360,"atterima","Carnivora","Mustelidae","Lontra","Lontra_canadensis","synonym","atterima","D. G. Elliot",1901,"1","epithet","North America"
