"","now_accepted_sist_subclass_superorder","now_accepted_sist_order","now_accepted_sist_suborder_superfamily","now_accepted_sist_family","now_accepted_sist_subfamily_tribe","now_accepted_sist_genus","now_accepted_sist_epithet","now_accepted_name","now_accepted_rank"
"1","Eutheria","Carnivora","indet.","Ailuridae","indet.","Ailurus","fulgens","Ailurus_fulgens","Species"
"2","Eutheria","Carnivora","indet.","Felidae","Felinae","Lynx","lynx","Lynx_lynx","Species"
"3","Eutheria","Carnivora","indet.","Felidae","Felinae","Panthera","pardus","Panthera_pardus","Species"
"4","Eutheria","Carnivora","indet.","Felidae","Felinae","Panthera","tigris","Panthera_tigris","Species"
"5","Eutheria","Carnivora","indet.","Ailuridae","indet.","Alopecocyon","goeriachensis","Alopecocyon_goeriachensis","Species"
"6","Eutheria","Carnivora","indet.","Amphicyonidae","Amphicyoninae","Amphicyon","major","Amphicyon_major","Species"
"7","Eutheria","Carnivora","indet.","Barbourofelidae","indet.","Albanosmilus","jourdani","Albanosmilus_jourdani","Species"
"8","Eutheria","Carnivora","indet.","Felidae","indet.","Pseudaelurus","quadridentatus","Pseudaelurus_quadridentatus","Species"
"9","Eutheria","Carnivora","indet.","Felidae","indet.","Styriofelis","lorteti","Styriofelis_lorteti","Species"
"10","Eutheria","Carnivora","indet.","Felidae","indet.","Styriofelis","turnauensis","Styriofelis_turnauensis","Species"
"11","Eutheria","Carnivora","indet.","Amphicyonidae","Amphicyoninae","Pseudocyon","sansaniensis","Pseudocyon_sansaniensis","Species"
"12","Eutheria","Carnivora","indet.","Amphicyonidae","indet.","Pseudarctos","bavaricus","Pseudarctos_bavaricus","Species"
"13","Eutheria","Carnivora","indet.","Amphicyonidae","Amphicyoninae","Agnotherium","grivense","Agnotherium_grivense","Species"
"14","Eutheria","Carnivora","indet.","Amphicyonidae","Amphicyoninae","Amphicyon","giganteus","Amphicyon_giganteus","Species"
"15","Eutheria","Carnivora","indet.","Ailuridae","indet.","Alopecocyon","indet.","Alopecocyon","Genus"
"16","Eutheria","Carnivora","indet.","Ailuridae","Simocyoninae","Simocyon","diaphorus","Simocyon_diaphorus","Species"
"17","Eutheria","Carnivora","indet.","Amphicyonidae","indet.","indet.","indet.","indet.","Family"
"18","Eutheria","Carnivora","indet.","Barbourofelidae","indet.","Sansanosmilus","palmidens","Sansanosmilus_palmidens","Species"
"19","Eutheria","Carnivora","indet.","Amphicyonidae","indet.","Amphicyonopsis","serus","Amphicyonopsis_serus","Species"
