"SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","SIDNUM","now_accepted_name","now_accepted_rank","MAX_AGE","MIN_AGE","now_continent"
"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plionictis","oaxaquenis",82113,"Plionictis_oaxaquenis","species",18.5,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plionictis","oaxacaenis",82105,"Plionictis_oaxacaenis","species",15.97,14.78,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tomarctus","brevirostris",80231,"Tomarctus_brevirostris","species",18.5,12.57,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Borophagus","secundus",80266,"Borophagus_secundus","species",9.07,1.8,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Procynodictis","progressus",80146,"Procynodictis_progressus","species",45.38,39.83,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","hookwayi",80132,"Miacis_hookwayi","species",42.78,39.83,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Tapocyon","robustus",80149,"Tapocyon_robustus","species",42.78,39.83,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Archaeocyon","pavidus",80176,"Archaeocyon_pavidus","species",32.1,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Mesocyon","coryphaeus",80185,"Mesocyon_coryphaeus","species",29.75,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Mesocyon","brachyops",80186,"Mesocyon_brachyops","species",29.75,22.2,"Americas"
"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Nimravus","brachyops",80487,"Nimravus_brachyops","species",32.1,22.2,"Americas"
"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Eusmilus","belli",80503,"Eusmilus_belli","species",29.75,28,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Hemicyoninae","Phoberogale","shareri",82195,"Phoberogale_shareri","species",29.75,28,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","whistleri",82189,"Cynarctoides_whistleri","species",29.75,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","taylori",82039,"Phlaocyon_taylori","species",29.75,22.2,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Leptocyon","vulpinus",80205,"Leptocyon_vulpinus","species",28,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Metatomarctus","canavus",80242,"Metatomarctus_canavus","species",18.5,15.97,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Desmocyon","thomsoni",80244,"Desmocyon_thomsoni","species",22.2,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","gawnae",82028,"Cynarctoides_gawnae","species",18.5,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tomarctus","hippophaga",80234,"Tomarctus_hippophaga","species",15.97,12.57,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tephrocyon","rurestris",80236,"Tephrocyon_rurestris","species",15.97,14.78,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Paratomarctus","temerarius",80241,"Paratomarctus_temerarius","species",15.97,12.11,"Americas"
"Eutheria","Carnivora","Caniformia","Ailuridae","Simocyoninae","Actiocyon","leardi",80298,"Actiocyon_leardi","species",10.09,9.07,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Protomarctus","optatus",80243,"Protomarctus_optatus","species",18.5,15.97,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Paracynarctus","kellogi",80235,"Paracynarctus_kellogi","species",18.5,12.57,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Leptarctinae","Leptarctus","ancipidens",80331,"Leptarctus_ancipidens","species",18.5,15.97,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Microtomarctus","conferta",80232,"Microtomarctus_conferta","species",17.34,12.57,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","Martes","glareae",80371,"Martes_glareae","species",15.97,10.09,"Americas"
"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Hyperailurictis","marshi",80513,"Hyperailurictis_marshi","species",22.2,10.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Leptocyon","tejonensis",82057,"Leptocyon_tejonensis","species",12.11,10.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Eucyon","davisi",80213,"Eucyon_davisi","species",15.97,2.6,"Americas | Asia"
"Eutheria","Carnivora","Caniformia","Mustelidae","Taxidiini","Pliotaxidea","garberi",80353,"Pliotaxidea_garberi","species",7.59,4.91,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plesiogulo","marshalli",80392,"Plesiogulo_marshalli","species",12.11,4.91,"Americas"
"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Nimravides","catacopsis",80520,"Nimravides_catacopsis","species",10.09,2.63,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Borophagus","parvus",82049,"Borophagus_parvus","species",6.88,4.91,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Aelurodon","taxoides",80252,"Aelurodon_taxoides","species",15.97,6.88,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Borophagus","littoralis",80261,"Borophagus_littoralis","species",12.57,4.91,"Americas"
"Eutheria","Carnivora","Musteloidea","Procyonidae","Procyoninae","Bassariscus","parvus",80277,"Bassariscus_parvus","species",15.97,7.59,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Leptarctinae","Leptarctus","wortmani",80330,"Leptarctus_wortmani","species",14.78,9.07,"Americas"
"Eutheria","Carnivora","indet.","Barbourofelidae","indet.","Barbourofelis","lovei",80509,"Barbourofelis_lovei","species",10.09,7.59,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Metalopex","macconnelli",82060,"Metalopex_macconnelli","species",12.57,7.59,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Hoplictis","grangerensis",80388,"Hoplictis_grangerensis","species",10.09,9.07,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Eomellivorini","Eomellivora","wimani",20503,"Eomellivora_wimani","species",10.09,5.3,"Americas | Europe | Asia"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Epicyon","haydeni",80259,"Epicyon_haydeni","species",12.57,4.91,"Americas"
"Eutheria","Carnivora","Musteloidea","Procyonidae","Procyoninae","Probassariscus","matthewi",80276,"Probassariscus_matthewi","species",15.97,6.88,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Ursinae","Indarctos","oregonensis",80482,"Indarctos_oregonensis","species",9.07,5.91,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Vulpes","shermanesis",80207,"Vulpes_shermanesis","species",5.91,4.91,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plesiogulo","lindsayi",80393,"Plesiogulo_lindsayi","species",6.88,4.91,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Galictini","Cernictis","hesperus",80400,"Cernictis_hesperus","species",5.91,4.91,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Lutrini","Mionictis","angustidens",80362,"Mionictis_angustidens","species",7.59,6.88,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Vulpes","kernensis",82058,"Vulpes_kernensis","species",7.59,6.88,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Metalopex","merriami",82061,"Metalopex_merriami","species",9.07,2.63,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Lutrini","Enhydritherium","terraenovae",80368,"Enhydritherium_terraenovae","species",9.07,4.91,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Ursinae","Agriotherium","schneideri",80483,"Agriotherium_schneideri","species",7.59,4.91,"Americas"
"Eutheria","Carnivora","indet.","Ursidae","Tremarctini","Plionarctos","edensis",80484,"Plionarctos_edensis","species",6.88,1.8,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","lepophagus",80214,"Canis_lepophagus","species",4.91,0.9,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Borophagus","diversidens",80268,"Borophagus_diversidens","species",7.59,0.9,"Americas"
"Eutheria","Carnivora","Feliformia","Felidae","Machairodontinae","Homotherium","ischyrus",80537,"Homotherium_ischyrus","species",4.91,2.63,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Chrysocyon","nearcticus",82069,"Chrysocyon_nearcticus","species",4.91,1.8,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Canis","edwardii",35043,"Canis_edwardii","species",4.91,0.39,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Euoplocyon","praedator",80246,"Euoplocyon_praedator","species",18.5,14.78,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Cerdocyon","avius",80212,"Cerdocyon_avius","species",4.91,2.63,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Borophagus","hilli",80263,"Borophagus_hilli","species",5.91,2.63,"Americas"
"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Puma","lacustris",80528,"Puma_lacustris","species",4.91,1.8,"Americas"
"Eutheria","Carnivora","Caniformia","Ailuridae","Ailurinae","Pristinailurus","bristoli",82089,"Pristinailurus_bristoli","species",5.91,2.63,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Melini","Arctomeles","dimolodontus",82110,"Arctomeles_dimolodontus","species",5.91,2.63,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","haydenianus",80100,"Protictis_haydenianus","species",64.75,57.66,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","australis",80165,"Vulpavus_australis","species",55.96,49.27,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","gracilis",80117,"Viverravus_gracilis","species",55.96,47.96,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","minutus",80121,"Viverravus_minutus","species",53.07,45.38,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","sicarius",80123,"Viverravus_sicarius","species",51.91,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","parvivorus",80125,"Miacis_parvivorus","species",53.42,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","major",80156,"Uintacyon_major","species",51.91,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","uintensis",80137,"Miacis_uintensis","species",45.38,39.83,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Procynodictis","vulpiceps",80145,"Procynodictis_vulpiceps","species",45.38,39.83,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Prodaphaenus","scotti",80148,"Prodaphaenus_scotti","species",45.38,39.83,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","acutus",80152,"Uintacyon_acutus","species",45.38,42.78,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","gracilis",30740,"Miacis_gracilis","species",45.38,39.83,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Bryanictis","microlestes",80094,"Bryanictis_microlestes","species",62.52,58.24,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Simpsonictis","tenuis",80113,"Simpsonictis_tenuis","species",62.52,59.61,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Simpsonictis","pegus",80115,"Simpsonictis_pegus","species",62.52,61.61,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","agastor",80101,"Protictis_agastor","species",59.61,58.63,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","paralus",80105,"Protictis_paralus","species",62.22,58.24,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Raphictis","gausion",80111,"Raphictis_gausion","species",62.22,58.24,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","dellensis",80103,"Protictis_dellensis","species",58.63,55.96,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","laytoni",80104,"Protictis_laytoni","species",58.63,57.66,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","schaffi",80106,"Protictis_schaffi","species",58.24,57.66,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Didymictis","protenus",80095,"Didymictis_protenus","species",57.66,52.11,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Intyrictis","vanvaleni",80099,"Intyrictis_vanvaleni","species",62.52,61.61,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Simpsonictis","jaynanneae",80116,"Simpsonictis_jaynanneae","species",62.52,62.22,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","acutus",80118,"Viverravus_acutus","species",57.24,52.11,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","politus",80122,"Viverravus_politus","species",57.24,53.42,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","bowni",80119,"Viverravus_bowni","species",57.04,54.05,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","rudis",80159,"Uintacyon_rudis","species",57.24,53.42,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","vorax",80160,"Uintacyon_vorax","species",56.54,45.38,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","deutschi",80128,"Miacis_deutschi","species",55.96,54.05,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","exiguus",80129,"Miacis_exiguus","species",55.96,51.91,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","winkleri",80139,"Miacis_winkleri","species",55.96,54.05,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","massetericus",80157,"Uintacyon_massetericus","species",55.96,53.07,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Didymictis","altidens",80096,"Didymictis_altidens","species",55.96,49.27,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","indet.","Viverravus","lutosus",80120,"Viverravus_lutosus","species",55.96,49.27,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Oodectes","herpestoides",80142,"Oodectes_herpestoides","species",55.96,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","asodes",80153,"Uintacyon_asodes","species",55.96,49.27,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vassacyon","promicrodon",80162,"Vassacyon_promicrodon","species",55.96,53.07,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","canavus",80166,"Vulpavus_canavus","species",55.96,49.27,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","petilus",80135,"Miacis_petilus","species",54.61,51.91,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","latidens",80140,"Miacis_latidens","species",54.05,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","profectus",80168,"Vulpavus_profectus","species",53.07,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","jepseni",80133,"Miacis_jepseni","species",53.42,53.07,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","palustris",80164,"Vulpavus_palustris","species",51.91,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","ovatus",80167,"Vulpavus_ovatus","species",51.91,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Vulpavus","farsonensis",82145,"Vulpavus_farsonensis","species",51.91,49.27,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","hargeri",80131,"Miacis_hargeri","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","sylvestris",80136,"Miacis_sylvestris","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Palaearctonyx","meadi",80144,"Palaearctonyx_meadi","species",49.27,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","edax",80151,"Uintacyon_edax","species",51.91,48.64,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","bathygnathus",80154,"Uintacyon_bathygnathus","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","jugulans",80155,"Uintacyon_jugulans","species",49.27,47.96,"Americas"
"Eutheria","Carnivora","indet.","Viverravidae","Didymictinae","Protictis","aprophatos",80102,"Protictis_aprophatos","species",47.96,45.38,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","medius",80134,"Miacis_medius","species",48.64,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","washakius",80138,"Miacis_washakius","species",48.64,47.96,"Americas"
"Eutheria","Carnivora","indet.","Miacidae","indet.","Uintacyon","pugnax",80158,"Uintacyon_pugnax","species",48.64,47.96,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Hesperocyon","gregarius",80174,"Hesperocyon_gregarius","species",39.83,29.75,"Americas"
