"SIDNUM","SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","MIN_AGE","MAX_AGE","now_accepted_name","now_accepted_rank","now_continent"
82113,"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plionictis","oaxaquenis",17.34,18.5,"Plionictis_oaxaquenis","species","Americas"
21123,"Eutheria","Carnivora","Caniformia","Canidae","indet.","indet.","indet.",0.0102,48.633333333333,"indet.","family","Americas | Europe | Asia | Africa"
21852,"Eutheria","Carnivora","Feliformia","Felidae","indet.","indet.","indet.",0.01217,26.653,"indet.","family","Americas | Europe | Asia | Africa"
82105,"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plionictis","oaxacaenis",14.78,15.97,"Plionictis_oaxacaenis","species","Americas"
80518,"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Pseudailurus","indet.",2.63,15.97,"Pseudailurus","genus","Americas"
80231,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tomarctus","brevirostris",12.57,18.5,"Tomarctus_brevirostris","species","Americas"
80266,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Borophagus","secundus",1.8,9.07,"Borophagus_secundus","species","Americas"
26678,"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","indet.",35.24,55.79,"Miacis","genus","Americas | Europe"
80150,"Eutheria","Carnivora","indet.","Miacidae","indet.","Tapocyon","indet.",42.78,47.96,"Tapocyon","genus","Americas"
80146,"Eutheria","Carnivora","indet.","Miacidae","indet.","Procynodictis","progressus",39.83,45.38,"Procynodictis_progressus","species","Americas"
80132,"Eutheria","Carnivora","indet.","Miacidae","indet.","Miacis","hookwayi",39.83,42.78,"Miacis_hookwayi","species","Americas"
20087,"Eutheria","Carnivora","Caniformia","Mustelidae","indet.","indet.","indet.",0.0112,39.83,"indet.","family","Americas | Europe | Asia | Africa"
80149,"Eutheria","Carnivora","indet.","Miacidae","indet.","Tapocyon","robustus",39.83,42.78,"Tapocyon_robustus","species","Americas"
80188,"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Mesocyon","indet.",19.09,42.78,"Mesocyon","genus","Americas"
80176,"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Archaeocyon","pavidus",28,32.1,"Archaeocyon_pavidus","species","Americas"
80185,"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Mesocyon","coryphaeus",28,29.75,"Mesocyon_coryphaeus","species","Americas"
80186,"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Mesocyon","brachyops",22.2,29.75,"Mesocyon_brachyops","species","Americas"
