"","pbdb_taxon_name","pbdb_taxon_authority","pbdb_accepted_name","pbdb_accepted_rank","pbdb_accepted_authority","pbdb_accepted_author_name_format","pbdb_accepted_author_year","pbdb_accepted_authority_parentheses"
"1","Carnivora","(Bowdich 1821)","Carnivora","order","(Bowdich 1821)","BOWDICH","1821","yes"
"2","Monachiopsis","Kretzoi 1941","Monachiopsis","genus","Kretzoi 1941","KRETZOI","1941","no"
"3","Protelidi","Jaekel 1911","Protelidi","suborder","Jaekel 1911","JAEKEL","1911","no"
"4","Adracon","Filhol 1884","Adracon","genus","Filhol 1884","FILHOL","1884","no"
"5","Viverra_memphitis","Linnaeus 1758","Carnivora","order","(Bowdich 1821)","BOWDICH","1821","yes"
"6","Eosictis","Scott 1945","Carnivora","order","(Bowdich 1821)","BOWDICH","1821","yes"
"7","Eosictis_avinoffi","Scott 1945","Eosictis_avinoffi","species","Scott 1945","SCOTT","1945","no"
"8","Caniformia","Kretzoi 1943","Caniformia","suborder","Kretzoi 1943","KRETZOI","1943","no"
"9","Lycophocyon","Tomiya 2011","Lycophocyon","genus","Tomiya 2011","TOMIYA","2011","no"
"10","Lycophocyon_tabrumi","Lofgren et al. 2020","Lycophocyon_tabrumi","species","Lofgren et al. 2020","LOFGREN_ET-AL","2020","no"
"11","Lycophocyon_hutchisoni","Tomiya 2011","Lycophocyon_hutchisoni","species","Tomiya 2011","TOMIYA","2011","no"
"12","Amphicyonidae","Haeckel 1886","Amphicyonidae","family","Haeckel 1886","HAECKEL","1886","no"
"13","Aphicyoninae","Trouessart 1885","Aphicyoninae","subfamily","Trouessart 1885","TROUESSART","1885","no"
"14","Notoamphicyon","Ameghino 1904","Notoamphicyon","genus","Ameghino 1904","AMEGHINO","1904","no"
"15","Notoamphicyon_paranensis","Ameghino 1904","Notoamphicyon_paranensis","species","Ameghino 1904","AMEGHINO","1904","no"
"16","Gustafsonia","Tomiya and Tseng 2016","Gustafsonia","genus","Tomiya and Tseng 2016","TOMIYA_TSENG","2016","no"
"17","Gustafsonia_cognita","(Gustafson 1986)","Gustafsonia_cognita","species","(Gustafson 1986)","GUSTAFSON","1986","yes"
"18","Pseudocyonopsis","Kuss 1965","Pseudocyonopsis","genus","Kuss 1965","KUSS","1965","no"
"19","Pseudocyonopsis_landesquei","Helbing 1928","Pseudocyonopsis_landesquei","species","Helbing 1928","HELBING","1928","no"
"20","Pseudocyonopsis_ambiguus","Ginsburg 1965","Pseudocyonopsis_ambiguus","species","Ginsburg 1965","GINSBURG","1965","no"
"21","Pseudocyonopsis_quercensis","Ginsburg 1965","Pseudocyonopsis_quercensis","species","Ginsburg 1965","GINSBURG","1965","no"
"22","Pseudocyonopsis_antiquus","Ginsburg 1966","Pseudocyonopsis_antiquus","species","Ginsburg 1966","GINSBURG","1966","no"
"23","Pseudamphicyon","Schlosser 1887","Pseudamphicyon","genus","Schlosser 1887","SCHLOSSER","1887","no"
"24","Arctamphicyon","Pilgrim 1932","Arctamphicyon","genus","Pilgrim 1932","PILGRIM","1932","no"
"25","Storchictis","de Bonis 2020","Storchictis","genus","de Bonis 2020","DE-BONIS","2020","no"
"26","Storchictis_miacinus","(de Chardin 1915)","Storchictis_miacinus","species","(de Chardin 1915)","DE-CHARDIN","1915","yes"
"27","Brachycyon","Filhol 1872","Brachycyon","genus","Filhol 1872","FILHOL","1872","no"
"28","Brachycyon_gaudryi","Ginsburg 1966","Brachycyon_gaudryi","species","Ginsburg 1966","GINSBURG","1966","no"
"29","Bonisicyon","Werdelin 2009","Bonisicyon","genus","Werdelin 2009","WERDELIN","2009","no"
"30","Bonisicyon_illacabo","Werdelin 2009","Bonisicyon_illacabo","species","Werdelin 2009","WERDELIN","2009","no"
"31","Cynodictis","Bravard and Pomel 1850","Cynodictis","genus","Bravard and Pomel 1850","BRAVARD_POMEL","1850","no"
"32","Cynodictis_parisiensis","Pomel 1853","Cynodictis_parisiensis","species","Pomel 1853","POMEL","1853","no"
"33","Cynodictis_cayluxensis","Filhol 1876","Cynodictis_cayluxensis","species","Filhol 1876","FILHOL","1876","no"
"34","Cynodictis_longirostris","Filhol 1872","Cynodictis_longirostris","species","Filhol 1872","FILHOL","1872","no"
"35","Cynodictis_crassus","Teilard de Chardin 1915","Cynodictis_crassus","species","Teilard de Chardin 1915","TEILARD-DE-CHARDIN","1915","no"
"36","Cynodictis_exilis","Teilard de Chardin 1915","Cynodictis_exilis","species","Teilard de Chardin 1915","TEILARD-DE-CHARDIN","1915","no"
"37","Cynodictis_peignei","Le Verger et al. 2020","Cynodictis_peignei","species","Le Verger et al. 2020","LE-VERGER_ET-AL","2020","no"
"38","Cynodictis_ferox","Filhol 1876","Cynodictis_ferox","species","Filhol 1876","FILHOL","1876","no"
"39","Cynodictis_(Elocyon)","(Aymard 1849)","Cynodictis_(Elocyon)","subgenus","(Aymard 1849)","AYMARD","1849","yes"
"40","Cynodictis_lacustris","Gervais 1852","Cynodictis_lacustris","species","Gervais 1852","GERVAIS","1852","no"
"41","Cynodictis_lacustris_neboulensis","de Bonis 1978","Cynodictis_lacustris_neboulensis","subspecies","de Bonis 1978","DE-BONIS","1978","no"
"42","Cynodictis_intermedius","Filhol 1876","Cynodictis_lacustris","species","Gervais 1852","GERVAIS","1852","no"
"43","Angelarctocyon","Tomiya and Tseng 2016","Angelarctocyon","genus","Tomiya and Tseng 2016","TOMIYA_TSENG","2016","no"
"44","Angelarctocyon_australis","(Gustafson 1986)","Angelarctocyon_australis","species","(Gustafson 1986)","GUSTAFSON","1986","yes"
"45","Protemnocyon","Hatcher 1901","Protemnocyon","genus","Hatcher 1901","HATCHER","1901","no"
"46","Protemnocyon_inflatus","Hatcher 1902","Protemnocyon_inflatus","species","Hatcher 1902","HATCHER","1902","no"
"47","Aymardia","Trouessart 1904","Aymardia","genus","Trouessart 1904","TROUESSART","1904","no"
"48","Cyotherium","Aymard","Cyotherium","genus","Aymard","AYMARD",NA,"no"
"49","Temnocyoninae","Hunt 1998","Temnocyoninae","subfamily","Hunt 1998","HUNT","1998","no"
"50","Rudiocyon","Hunt 2011","Rudiocyon","genus","Hunt 2011","HUNT","2011","no"
"51","Rudiocyon_amplidens","Hunt 2011","Rudiocyon_amplidens","species","Hunt 2011","HUNT","2011","no"
"52","Delotrochanter","Hunt 2011","Delotrochanter","genus","Hunt 2011","HUNT","2011","no"
"53","Delotrochanter_oryktes","Hunt 2011","Delotrochanter_oryktes","species","Hunt 2011","HUNT","2011","no"
"54","Delotrochanter_petersoni","Hunt 2011","Delotrochanter_petersoni","species","Hunt 2011","HUNT","2011","no"
"55","Delotrochanter_major","Hunt 2011","Delotrochanter_major","species","Hunt 2011","HUNT","2011","no"
"56","Temnocyon","Cope 1878","Temnocyon","genus","Cope 1878","COPE","1878","no"
"57","Temnocyon_altigenis","Cope 1878","Temnocyon_altigenis","species","Cope 1878","COPE","1878","no"
"58","Temnocyon_percussor","Cook 1909","Temnocyon_percussor","species","Cook 1909","COOK","1909","no"
"59","Temnocyon_subferox","Hunt 2011","Temnocyon_subferox","species","Hunt 2011","HUNT","2011","no"
"60","Temnocyon_typicus","Loomis 1936","Temnocyon_typicus","species","Loomis 1936","LOOMIS","1936","no"
"61","Temnocyon_macrogenys","Hunt 2011","Temnocyon_macrogenys","species","Hunt 2011","HUNT","2011","no"
"62","Temnocyon_ferox","Eyermann 1896","Temnocyon_ferox","species","Eyermann 1896","EYERMANN","1896","no"
"63","Temnocyon_fingeruti","Hunt 2011","Temnocyon_fingeruti","species","Hunt 2011","HUNT","2011","no"
"64","Mammacyon","Loomis 1936","Mammacyon","genus","Loomis 1936","LOOMIS","1936","no"
"65","Mammacyon_ferocior","Hunt 2011","Mammacyon_ferocior","species","Hunt 2011","HUNT","2011","no"
"66","Mammacyon_obtusidens","Loomis 1936","Mammacyon_obtusidens","species","Loomis 1936","LOOMIS","1936","no"
"67","Amphicyanis","Springhorn 1977","Amphicyanis","genus","Springhorn 1977","SPRINGHORN","1977","no"
"68","Daphoeninae","Hunt 1998","Daphoeninae","subfamily","Hunt 1998","HUNT","1998","no"
"69","Brachyrhynchocyon","Scott and Jepsen 1936","Brachyrhynchocyon","genus","Scott and Jepsen 1936","SCOTT_JEPSEN","1936","no"
"70","Brachyrhynchocyon_montanus","Hunt 1996","Brachyrhynchocyon_montanus","species","Hunt 1996","HUNT","1996","no"
"71","Brachyrhynchocyon_dodgei","(Scott 1898)","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"72","Daphoenus_canadensis","Russell 1934","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"73","Daphoenocyon_minor","Clark and et al 1967","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"74","Miacis_matthewi","Schlaikjer 1935","Brachyrhynchocyon_dodgei","species","(Scott 1898)","SCOTT","1898","yes"
"75","Brachicyon","Loomis 1931","Brachyrhynchocyon","genus","Scott and Jepsen 1936","SCOTT_JEPSEN","1936","no"
"76","Daphoenocyon","Hough 1948","Brachyrhynchocyon","genus","Scott and Jepsen 1936","SCOTT_JEPSEN","1936","no"
"77","Brachyrhynchocyon_intermedius","(Loomis 1931)","Brachyrhynchocyon_intermedius","species","(Loomis 1931)","LOOMIS","1931","yes"
"78","Daphoenodon","Peterson 1909","Daphoenodon","genus","Peterson 1909","PETERSON","1909","no"
"79","Daphoenodon_falkenbachi","Hunt 2002","Daphoenodon_falkenbachi","species","Hunt 2002","HUNT","2002","no"
"80","Daphoenodon_superbus","(Peterson 1907)","Daphoenodon_superbus","species","(Peterson 1907)","PETERSON","1907","yes"
"81","Daphoenodon_periculosus","Cook 1909","Daphoenodon_superbus","species","(Peterson 1907)","PETERSON","1907","yes"
"82","Daphoenodon_skinneri","Hunt 2002","Daphoenodon_skinneri","species","Hunt 2002","HUNT","2002","no"
"83","Daphoenodon_notionastes","Frailey 1979","Daphoenodon_notionastes","species","Frailey 1979","FRAILEY","1979","no"
"84","Daphoenodon_(Borocyon)","(Peterson 1910)","Daphoenodon_(Borocyon)","subgenus","(Peterson 1910)","PETERSON","1910","yes"
