"pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_internal_synonym","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_identified_no","pbdb_accepted_no","pbdb_old_genus","pbdb_rest"
"Cynodictis_lacustris",NA,"Cynodictis_lacustris","Cynodictis_lacustris","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynodictis",NA,NA,NA,NA,33815,36651,36905,41266,41276,NA,349281,349281,"Cynodictis","lacustris"
"n._gen._Enaliarctos_n._sp._mealsi",NA,"Enaliarctos_mealsi","Enaliarctos_mealsi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Enaliarctos",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,36916,NA,71871,71871,"Enaliarctos","mealsi"
"Pinnarctidion_bishopi",NA,"Pinnarctidion_bishopi","Pinnarctidion_bishopi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Pinnarctidion",NA,NA,NA,NA,33815,36651,36905,NA,36938,NA,72007,72007,"Pinnarctidion","bishopi"
"Indarctos_sinensis","subjective synonym of","Indarctos_atticus","Indarctos_atticus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Indarctos",NA,NA,NA,NA,33815,36651,36905,41301,41315,NA,90198,90196,"Indarctos","atticus"
"Sivaonyx_bathygnathus",NA,"Sivaonyx_bathygnathus","Sivaonyx_bathygnathus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx",NA,NA,NA,NA,33815,36651,36905,41086,41169,NA,438269,156337,"Sivaonyx","bathygnathus"
"n._gen._Atopotarus_n._sp._courseni",NA,"Atopotarus_courseni","Atopotarus_courseni","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Atopotarus",NA,NA,"n. gen.","n. sp.",33815,36651,36905,41334,36910,NA,53071,53071,"Atopotarus","courseni"
"Allodesmus_kernensis",NA,"Allodesmus_kernensis","Allodesmus_kernensis","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Allodesmus",NA,NA,NA,NA,33815,36651,36905,41334,36908,NA,72005,72005,"Allodesmus","kernensis"
"Panthera_pardus",NA,"Panthera_pardus","Panthera_pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,72185,104158,"Panthera","pardus"
"Panthera_tigris",NA,"Panthera_tigris","Panthera_tigris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,90651,104157,"Panthera","tigris"
"Crocuta_crocuta",NA,"Crocuta_crocuta","Crocuta_crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,53881,232133,"Crocuta","crocuta"
"Paguma_larvata",NA,"Paguma_larvata","Paguma_larvata","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Paguma",NA,NA,NA,NA,33815,36651,36905,40997,136643,NA,232934,232933,"Paguma","larvata"
"Herpestes_cf._urva",NA,"Herpestes_urva","Herpestes_urva","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,"cf.",33815,36651,36905,199984,41005,NA,240142,240141,"Herpestes","urva"
"Viverra_cf._zibetha",NA,"Viverra_zibetha","Viverra_zibetha","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Viverra",NA,NA,NA,"cf.",33815,36651,36905,40997,41018,NA,104163,104163,"Viverra","zibetha"
"Lutra_cf._lutra",NA,"Lutra_lutra","Lutra_lutra","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,"cf.",33815,36651,36905,41086,41122,NA,157463,104165,"Lutra","lutra"
"Arctonyx_collaris",NA,"Arctonyx_collaris","Arctonyx_collaris","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Arctonyx",NA,NA,NA,NA,33815,36651,36905,41086,41094,NA,157496,157496,"Arctonyx","collaris"
"Ursus_thibetanus",NA,"Ursus_thibetanus","Ursus_thibetanus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursus",NA,NA,NA,NA,33815,36651,36905,41301,41331,NA,104029,104029,"Ursus","thibetanus"
"Ailuropoda_melanoleuca",NA,"Ailuropoda_melanoleuca","Ailuropoda_melanoleuca","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda",NA,NA,NA,NA,33815,36651,36905,41301,41304,NA,104016,104015,"Ailuropoda","melanoleuca"
"Panthera_cf._leo",NA,"Panthera_leo","Panthera_leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,49734,46521,"Panthera","leo"
"Crocuta_cf._sivalensis",NA,"Crocuta_sivalensis","Crocuta_sivalensis","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,"cf.",33815,36651,36905,41020,45364,NA,376866,376866,"Crocuta","sivalensis"
"Amphicyon_palaeindicus",NA,"Amphicyon_palaeindicus","Amphicyon_palaeindicus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,478218,478218,"Amphicyon","palaeindicus"
"Felis_n._sp._vorohuensis","recombined as","Leopardus_vorohuensis","Leopardus_vorohuensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Leopardus",NA,NA,NA,"n. sp.",33815,36651,36905,41045,41057,NA,100309,100309,"Leopardus","vorohuensis"
