"pbdb_identified_no","pbdb_accepted_no","pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_internal_synonym","pbdb_genus_difference"
349281,349281,"Cynodictis_lacustris",NA,"Cynodictis_lacustris","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Cynodictis",NA,NA,NA,NA,33815,36651,36905,41266,41276,NA,"Cynodictis_lacustris",FALSE
71871,71871,"n._gen._Enaliarctos_n._sp._mealsi",NA,"Enaliarctos_mealsi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Enaliarctos",NA,NA,"n. gen.","n. sp.",33815,36651,36905,NA,36916,NA,"Enaliarctos_mealsi",FALSE
72007,72007,"Pinnarctidion_bishopi",NA,"Pinnarctidion_bishopi","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Pinnarctidion",NA,NA,NA,NA,33815,36651,36905,NA,36938,NA,"Pinnarctidion_bishopi",FALSE
90198,90196,"Indarctos_sinensis","subjective synonym of","Indarctos_atticus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Indarctos",NA,NA,NA,NA,33815,36651,36905,41301,41315,NA,"Indarctos_atticus",FALSE
438269,156337,"Sivaonyx_bathygnathus",NA,"Sivaonyx_bathygnathus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Sivaonyx",NA,NA,NA,NA,33815,36651,36905,41086,41169,NA,"Sivaonyx_bathygnathus",FALSE
53071,53071,"n._gen._Atopotarus_n._sp._courseni",NA,"Atopotarus_courseni","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Atopotarus",NA,NA,"n. gen.","n. sp.",33815,36651,36905,41334,36910,NA,"Atopotarus_courseni",FALSE
72005,72005,"Allodesmus_kernensis",NA,"Allodesmus_kernensis","species","species",NA,"Chordata","Mammalia","Carnivora","Desmatophocidae","Allodesmus",NA,NA,NA,NA,33815,36651,36905,41334,36908,NA,"Allodesmus_kernensis",FALSE
72185,104158,"Panthera_pardus",NA,"Panthera_pardus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,"Panthera_pardus",FALSE
90651,104157,"Panthera_tigris",NA,"Panthera_tigris","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,NA,33815,36651,36905,41045,41066,NA,"Panthera_tigris",FALSE
53881,232133,"Crocuta_crocuta",NA,"Crocuta_crocuta","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,NA,33815,36651,36905,41020,45364,NA,"Crocuta_crocuta",FALSE
232934,232933,"Paguma_larvata",NA,"Paguma_larvata","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Paguma",NA,NA,NA,NA,33815,36651,36905,40997,136643,NA,"Paguma_larvata",FALSE
240142,240141,"Herpestes_cf._urva",NA,"Herpestes_urva","species","species",NA,"Chordata","Mammalia","Carnivora","Herpestidae","Herpestes",NA,NA,NA,"cf.",33815,36651,36905,199984,41005,NA,"Herpestes_urva",FALSE
104163,104163,"Viverra_cf._zibetha",NA,"Viverra_zibetha","species","species",NA,"Chordata","Mammalia","Carnivora","Viverridae","Viverra",NA,NA,NA,"cf.",33815,36651,36905,40997,41018,NA,"Viverra_zibetha",FALSE
157463,104165,"Lutra_cf._lutra",NA,"Lutra_lutra","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Lutra",NA,NA,NA,"cf.",33815,36651,36905,41086,41122,NA,"Lutra_lutra",FALSE
157496,157496,"Arctonyx_collaris",NA,"Arctonyx_collaris","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Arctonyx",NA,NA,NA,NA,33815,36651,36905,41086,41094,NA,"Arctonyx_collaris",FALSE
104029,104029,"Ursus_thibetanus",NA,"Ursus_thibetanus","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursus",NA,NA,NA,NA,33815,36651,36905,41301,41331,NA,"Ursus_thibetanus",FALSE
104016,104015,"Ailuropoda_melanoleuca",NA,"Ailuropoda_melanoleuca","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda",NA,NA,NA,NA,33815,36651,36905,41301,41304,NA,"Ailuropoda_melanoleuca",FALSE
49734,46521,"Panthera_cf._leo",NA,"Panthera_leo","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Panthera",NA,NA,NA,"cf.",33815,36651,36905,41045,41066,NA,"Panthera_leo",FALSE
376866,376866,"Crocuta_cf._sivalensis",NA,"Crocuta_sivalensis","species","species",NA,"Chordata","Mammalia","Carnivora","Hyaenidae","Crocuta",NA,NA,NA,"cf.",33815,36651,36905,41020,45364,NA,"Crocuta_sivalensis",FALSE
478218,478218,"Amphicyon_palaeindicus",NA,"Amphicyon_palaeindicus","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon",NA,NA,NA,NA,33815,36651,36905,41266,41271,NA,"Amphicyon_palaeindicus",FALSE
100309,100309,"Felis_n._sp._vorohuensis","recombined as","Leopardus_vorohuensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Leopardus",NA,NA,NA,"n. sp.",33815,36651,36905,41045,41057,NA,"Leopardus_vorohuensis",FALSE
51312,51312,"Ravenictis_n._sp._krausei",NA,"Ravenictis_krausei","species","species",NA,"Chordata","Mammalia","Carnivora","NO_FAMILY_SPECIFIED","Ravenictis",NA,NA,NA,"n. sp.",33815,36651,36905,NA,40222,NA,"Ravenictis_krausei",FALSE
