"","flags","taxon_rank","taxon_name","taxon_attr","difference","accepted_rank","accepted_name","parent_name","immpar_name","phylum","class","order","family","genus","pbdb_taxon_author_parentheses","pbdb_taxon_author_name","pbdb_taxon_author_year","pbdb_accepted_author_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year"
"1","","species","Synagodus mansuetus","Cope 1879","","species","Synagodus mansuetus","Synagodus","","Chordata","Mammalia","Carnivora","Canidae","Synagodus",FALSE,"COPE","1879",FALSE,"COPE","1879"
"2","","species","Simenia simensis","Rüppell 1835","","species","Simenia simensis","Simenia","","Chordata","Mammalia","Carnivora","Canidae","Simenia",FALSE,"RUPPELL","1835",FALSE,"RUPPELL","1835"
"3","V","species","Canis fulvipes","(Martin 1837)","recombined as","species","Thous fulvipes","Thous","","Chordata","Mammalia","Carnivora","Canidae","Thous",TRUE,"MARTIN","1837",TRUE,"MARTIN","1837"
"4","V","species","Vulpes fulvipes","(Martin 1837)","recombined as","species","Thous fulvipes","Thous","","Chordata","Mammalia","Carnivora","Canidae","Thous",TRUE,"MARTIN","1837",TRUE,"MARTIN","1837"
"5","","species","Thous fulvipes","(Martin 1837)","","species","Thous fulvipes","Thous","","Chordata","Mammalia","Carnivora","Canidae","Thous",TRUE,"MARTIN","1837",TRUE,"MARTIN","1837"
"6","","species","Lycaon magnus","Ewer and Singer 1956","","species","Lycaon magnus","Lycaon","","Chordata","Mammalia","Carnivora","Canidae","Lycaon",FALSE,"EWER_SINGER","1956",FALSE,"EWER_SINGER","1956"
"7","V","species","Hyaena picta","(Temminck 1820)","recombined as","species","Lycaon pictus","Lycaon","","Chordata","Mammalia","Carnivora","Canidae","Lycaon",TRUE,"TEMMINCK","1820",TRUE,"TEMMINCK","1820"
"8","","species","Lycaon pictus","(Temminck 1820)","","species","Lycaon pictus","Lycaon","","Chordata","Mammalia","Carnivora","Canidae","Lycaon",TRUE,"TEMMINCK","1820",TRUE,"TEMMINCK","1820"
"9","","species","Lycaon sekowei","Hartstone-Rose et al. 2010","","species","Lycaon sekowei","Lycaon","","Chordata","Mammalia","Carnivora","Canidae","Lycaon",FALSE,"HARTSTONE-ROSE_ET-AL","2010",FALSE,"HARTSTONE-ROSE_ET-AL","2010"
"10","","species","Lupulella mohibi","Geraads 2011","","species","Lupulella mohibi","Lupulella","","Chordata","Mammalia","Carnivora","Canidae","Lupulella",FALSE,"GERAADS","2011",FALSE,"GERAADS","2011"
