"pbdb_flags","pbdb_taxon_no","pbdb_taxon_rank","pbdb_taxon_name","pbdb_taxon_attr","pbdb_difference","pbdb_accepted_no","pbdb_accepted_rank","pbdb_accepted_name","pbdb_parent_name","pbdb_immpar_name","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_taxon_author_parentheses","pbdb_taxon_author_name","pbdb_taxon_author_year","pbdb_accepted_author_parentheses","pbdb_accepted_author_name","pbdb_accepted_author_year","pbdb_alternative_synonym","pbdb_genus_difference"
NA,475277,"species","Lycaon_sekowei","Hartstone-Rose et al. 2010",NA,475277,"species","Lycaon_sekowei","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",FALSE,"Hartstone-Rose_et-al","2010",FALSE,"Hartstone-Rose_et-al","2010","Lycaon_sekowei",FALSE
NA,433175,"species","Lycaon_magnus","Ewer and Singer 1956",NA,433175,"species","Lycaon_magnus","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",FALSE,"Ewer_Singer","1956",FALSE,"Ewer_Singer","1956","Lycaon_magnus",FALSE
"V",231462,"species","Hyaena_picta","(Temminck 1820)","recombined as",231462,"species","Lycaon_pictus","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",TRUE,"Temminck","1820",TRUE,"Temminck","1820","Lycaon_pictus",FALSE
NA,231463,"species","Lycaon_pictus","(Temminck 1820)",NA,231462,"species","Lycaon_pictus","Lycaon",NA,"Chordata","Mammalia","Carnivora","Canidae","Lycaon",TRUE,"Temminck","1820",TRUE,"Temminck","1820","Lycaon_pictus",FALSE
NA,94469,"species","Cynotherium_sardous","Studiati 1857",NA,94469,"species","Cynotherium_sardous","Cynotherium",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynotherium",FALSE,"Studiati","1857",FALSE,"Studiati","1857","Cynotherium_sardous",FALSE
NA,475276,"species","Cynotherium_malatestai","Madurell-Malapeira et al. 2015",NA,475276,"species","Cynotherium_malatestai","Cynotherium",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynotherium",FALSE,"Madurell-Malapeira_et-al","2015",FALSE,"Madurell-Malapeira_et-al","2015","Cynotherium_malatestai",FALSE
NA,287419,"species","Cubacyon_transversidens","Arredondo and Varona 1974",NA,287419,"species","Cubacyon_transversidens","Cubacyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Cubacyon",FALSE,"Arredondo_Varona","1974",FALSE,"Arredondo_Varona","1974","Cubacyon_transversidens",FALSE
NA,48330,"species","Mesocyon_brachyops","Merriam 1906",NA,48330,"species","Mesocyon_brachyops","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",FALSE,"Merriam","1906",FALSE,"Merriam","1906","Mesocyon_brachyops",FALSE
NA,48329,"species","Mesocyon_baileyi","Stock 1933","subjective synonym of",48330,"species","Mesocyon_brachyops","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",FALSE,"Stock","1933",FALSE,"Merriam","1906","Mesocyon_brachyops",FALSE
"V",46082,"species","Enhydrocyon_coryphaeus","(Cope 1879)","recombined as",52161,"species","Mesocyon_coryphaeus","Mesocyon",NA,"Chordata","Mammalia","Carnivora","Canidae","Mesocyon",TRUE,"Cope","1879",TRUE,"Cope","1879","Mesocyon_coryphaeus",FALSE
